,Mobile_name,Details,Price,Reviews,Num_Ratings,Num_Reviews
18,"Apple iPhone 14 (Blue, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹56,999",4.6,"2,75,992 Ratings "," 10,824 Reviews"
19,"vivo T2x 5G (Glimmer Black, 128 GB)",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹11,999",4.4,"1,56,942 Ratings "," 8,367 Reviews"
20,"vivo T2x 5G (Glimmer Black, 128 GB)",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹14,999",4.3,"62,930 Ratings "," 3,777 Reviews"
21,"Apple iPhone 15 (Pink, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹66,999",4.6,"13,968 Ratings ", 958 Reviews
22,"Apple iPhone 14 (Starlight, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹56,999",4.6,"2,75,992 Ratings "," 10,824 Reviews"
23,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD Display13MP + 2MP | 5MP Front Camera5000 mAh Lithium-Ion BatteryMediatek Helio P35 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹5,999",4.2,"97,370 Ratings "," 5,565 Reviews"
24,"Motorola g54 5G (Pearl Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7020 Processor1 Year on Handset and 6 Months on Accessories,"₹13,999",4.2,"62,899 Ratings "," 6,182 Reviews"
25,"REDMI 12 5G (Moonstone Silver, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹12,999",4.3,"18,156 Ratings "," 1,180 Reviews"
26,"vivo T2x 5G (Marine Blue, 128 GB)",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹12,999",4.4,"3,45,370 Ratings "," 19,420 Reviews"
27,"vivo T2x 5G (Aurora Gold, 128 GB)",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹12,999",4.4,"3,45,370 Ratings "," 19,420 Reviews"
